country,subnational1,subnational2,threshold,area_ha,extent_2000_ha,extent_2010_ha,gain_2000-2020_ha,tc_loss_ha_2001,tc_loss_ha_2002,tc_loss_ha_2003,tc_loss_ha_2004,tc_loss_ha_2005,tc_loss_ha_2006,tc_loss_ha_2007,tc_loss_ha_2008,tc_loss_ha_2009,tc_loss_ha_2010,tc_loss_ha_2011,tc_loss_ha_2012,tc_loss_ha_2013,tc_loss_ha_2014,tc_loss_ha_2015,tc_loss_ha_2016,tc_loss_ha_2017,tc_loss_ha_2018,tc_loss_ha_2019,tc_loss_ha_2020,tc_loss_ha_2021,tc_loss_ha_2022,tc_loss_ha_2023
Colombia,Amazonas,El Encanto,0,1027642,1027642,1027642,773,212,182,88,169,147,169,89,236,74,342,195,201,145,242,168,988,322,178,219,392,299,334,224
Colombia,Amazonas,El Encanto,10,1027642,1010468,1010236,773,212,182,88,169,147,169,89,236,74,342,195,200,145,241,165,985,316,176,218,386,295,320,217
Colombia,Amazonas,El Encanto,15,1027642,1010422,1010189,773,212,182,88,169,147,169,89,236,74,342,195,200,145,241,165,985,316,176,218,386,295,320,217
Colombia,Amazonas,El Encanto,20,1027642,1010269,1010088,773,212,182,88,169,147,169,89,236,74,342,194,200,145,241,165,985,316,176,217,386,295,319,217
Colombia,Amazonas,El Encanto,25,1027642,1010200,1010045,773,212,182,88,169,147,169,89,236,74,342,194,200,145,241,165,985,315,176,217,386,294,319,217
Colombia,Amazonas,El Encanto,30,1027642,1010064,1009935,773,212,182,88,169,147,169,89,236,74,342,194,200,145,241,164,985,315,176,217,386,294,319,217
Colombia,Amazonas,El Encanto,50,1027642,1009547,1009407,773,212,182,88,169,147,169,88,235,74,342,194,200,144,240,164,984,313,175,215,383,293,316,215
Colombia,Amazonas,El Encanto,75,1027642,1008418,1008298,773,212,182,88,168,147,169,88,235,74,341,194,200,144,239,161,981,308,173,213,378,290,311,211
Colombia,Amazonas,La Chorrera,0,2226545,2226545,2226545,958,285,294,272,282,278,349,33,650,116,499,460,203,270,729,321,881,649,361,347,3230,509,474,386
Colombia,Amazonas,La Chorrera,10,2226545,2210795,2210513,958,285,294,272,282,278,349,33,650,116,499,460,203,269,725,320,878,645,359,345,3229,508,471,384
