divipola,Departamento,Municipio,año,Índice de indicencia del conflicto,Índice de indicencia del conflicto categoría
05001,ANTIOQUIA,MEDELLÍN,2013,0.00826053787022829,Medio Bajo
05002,ANTIOQUIA,ABEJORRAL,2013,0.00549857877194881,Bajo
05004,ANTIOQUIA,ABRIAQUÍ,2013,0.000326638284604996,Bajo
05021,ANTIOQUIA,ALEJANDRÍA,2013,0.0050624436698854,Bajo
05030,ANTIOQUIA,AMAGÁ,2013,0.0160145461559296,Medio Bajo
05031,ANTIOQUIA,AMALFI,2013,0.0460281670093536,Alto
05034,ANTIOQUIA,ANDES,2013,0.0127168577164412,Medio Bajo
05036,ANTIOQUIA,ANGELÓPOLIS,2013,0.016088429838419,Medio Bajo
05038,ANTIOQUIA,ANGOSTURA,2013,0.011912283487618,Medio Bajo
05040,ANTIOQUIA,ANORÍ,2013,0.090482160449028,Muy Alto
05042,ANTIOQUIA,SANTA FÉ DE ANTIOQUIA,2013,0.0116166798397899,Medio Bajo
05044,ANTIOQUIA,ANZÁ,2013,0.00982008222490549,Medio Bajo
05045,ANTIOQUIA,APARTADÓ,2013,0.0103483190760016,Medio Bajo
05051,ANTIOQUIA,ARBOLETES,2013,0.00371001637540758,Bajo
05055,ANTIOQUIA,ARGELIA,2013,0.00603953003883362,Bajo
05059,ANTIOQUIA,ARMENIA,2013,0.0189506150782108,Medio Bajo
05079,ANTIOQUIA,BARBOSA,2013,0.0166386608034372,Medio Bajo
05086,ANTIOQUIA,BELMIRA,2013,0.0193338934332132,Medio
05088,ANTIOQUIA,BELLO,2013,0.00398923456668854,Bajo
05091,ANTIOQUIA,BETANIA,2013,0.00294413231313229,Bajo
05093,ANTIOQUIA,BETULIA,2013,0.00956994947046042,Medio Bajo
05101,ANTIOQUIA,CIUDAD BOLÍVAR,2013,0.0155000081285834,Medio Bajo
05107,ANTIOQUIA,BRICEÑO,2013,0.179685562849045,Muy Alto
05113,ANTIOQUIA,BURITICÁ,2013,0.0253858435899019,Medio
05120,ANTIOQUIA,CÁCERES,2013,0.0364298298954964,Alto
05125,ANTIOQUIA,CAICEDO,2013,0.00623755250126123,Bajo
05129,ANTIOQUIA,CALDAS,2013,0.00841111224144697,Medio Bajo
05134,ANTIOQUIA,CAMPAMENTO,2013,0.0450294390320778,Alto
05138,ANTIOQUIA,CAÑASGORDAS,2013,0.00490676239132881,Bajo
05142,ANTIOQUIA,CARACOLÍ,2013,0.00444332323968411,Bajo
05145,ANTIOQUIA,CARAMANTA,2013,0.00990346632897854,Medio Bajo
05147,ANTIOQUIA,CAREPA,2013,0.00795152690261602,Medio Bajo
05148,ANTIOQUIA,EL CARMEN DE VIBORAL,2013,0.00755043653771281,Medio Bajo
05150,ANTIOQUIA,CAROLINA,2013,0.00979065336287022,Medio Bajo
05154,ANTIOQUIA,CAUCASIA,2013,0.0122164897620678,Medio Bajo
05172,ANTIOQUIA,CHIGORODÓ,2013,0.00876986607909203,Medio Bajo
05190,ANTIOQUIA,CISNEROS,2013,0.0120757119730115,Medio Bajo
05197,ANTIOQUIA,COCORNÁ,2013,0.00744305504485965,Medio Bajo
05206,ANTIOQUIA,CONCEPCIÓN,2013,0.00471247360110283,Bajo
05209,ANTIOQUIA,CONCORDIA,2013,0.00819137040525675,Medio Bajo
05212,ANTIOQUIA,COPACABANA,2013,0.00681729521602392,Medio Bajo
05234,ANTIOQUIA,DABEIBA,2013,0.0210653711110353,Medio
05237,ANTIOQUIA,DONMATÍAS,2013,0.00449345819652081,Bajo
05240,ANTIOQUIA,EBÉJICO,2013,0.00490541523322463,Bajo
05250,ANTIOQUIA,EL BAGRE,2013,0.0380751825869083,Alto
05264,ANTIOQUIA,ENTRERRÍOS,2013,0.00216351659037173,Bajo
05266,ANTIOQUIA,ENVIGADO,2013,0.00251250178553164,Bajo
05282,ANTIOQUIA,FREDONIA,2013,0.0116994585841894,Medio Bajo
05284,ANTIOQUIA,FRONTINO,2013,0.00898516550660133,Medio Bajo
05306,ANTIOQUIA,GIRALDO,2013,0.0146164074540138,Medio Bajo
05308,ANTIOQUIA,GIRARDOTA,2013,0.0119502218440175,Medio Bajo
05310,ANTIOQUIA,GÓMEZ PLATA,2013,0.0075613921508193,Medio Bajo
05313,ANTIOQUIA,GRANADA,2013,0.0021477434784174,Bajo
05315,ANTIOQUIA,GUADALUPE,2013,0.0314255878329277,Medio
05318,ANTIOQUIA,GUARNE,2013,0.00495771132409573,Bajo
05321,ANTIOQUIA,GUATAPÉ,2013,0.00342185655608773,Bajo
05347,ANTIOQUIA,HELICONIA,2013,0.00645233877003193,Bajo
05353,ANTIOQUIA,HISPANIA,2013,0.014844536781311,Medio Bajo
05360,ANTIOQUIA,ITAGÜÍ,2013,0.00619634566828609,Bajo
05361,ANTIOQUIA,ITUANGO,2013,0.080634243786335,Muy Alto
05364,ANTIOQUIA,JARDÍN,2013,0.00548626435920596,Bajo
05368,ANTIOQUIA,JERICÓ,2013,1.983125366678E-05,Bajo
05376,ANTIOQUIA,LA CEJA,2013,0.00310626393184066,Bajo
05380,ANTIOQUIA,LA ESTRELLA,2013,0.0118759786710143,Medio Bajo
05390,ANTIOQUIA,LA PINTADA,2013,0.00546574126929045,Bajo
05400,ANTIOQUIA,LA UNIÓN,2013,0.00977080035954714,Medio Bajo
05411,ANTIOQUIA,LIBORINA,2013,0.00239935540594161,Bajo
05425,ANTIOQUIA,MACEO,2013,0.0138364415615797,Medio Bajo
05440,ANTIOQUIA,MARINILLA,2013,0.00450844876468182,Bajo
05467,ANTIOQUIA,MONTEBELLO,2013,0.00956405233591795,Medio Bajo
05475,ANTIOQUIA,MURINDÓ,2013,0.0159221850335598,Medio Bajo
05480,ANTIOQUIA,MUTATÁ,2013,0.0202417187392712,Medio
05483,ANTIOQUIA,NARIÑO,2013,0.00662016263231635,Medio Bajo
05490,ANTIOQUIA,NECOCLÍ,2013,0.00314969127066433,Bajo
05495,ANTIOQUIA,NECHÍ,2013,0.00785601139068604,Medio Bajo
05501,ANTIOQUIA,OLAYA,2013,0.0401575192809105,Alto
05541,ANTIOQUIA,PEÑOL,2013,0.0046642916277051,Bajo
05543,ANTIOQUIA,PEQUE,2013,0.0106681557372212,Medio Bajo
