Divipola,Depto,Municipio,IICA 2014,IICA 2015,IICA 2016,IICA 2014 Categoría,IICA 2015 Categoría,IICA 2016 Categoría
05001,ANTIOQUIA,MEDELLIN,0.00692,0.00563,0.00637,Medio bajo,Bajo,Bajo
05002,ANTIOQUIA,ABEJORRAL,0.00738,0.00640,0.00831,Medio bajo,Bajo,Medio bajo
05004,ANTIOQUIA,ABRIAQUI,0.00070,0.00000,0.00049,Bajo,Bajo,Bajo
05021,ANTIOQUIA,ALEJANDRIA,0.00056,0.00477,0.00523,Bajo,Bajo,Bajo
05030,ANTIOQUIA,AMAGA,0.00925,0.00729,0.00698,Medio bajo,Medio bajo,Medio bajo
05031,ANTIOQUIA,AMALFI,0.03413,0.02364,0.01153,Alto,Medio,Medio bajo
05034,ANTIOQUIA,ANDES,0.01690,0.01311,0.01167,Medio bajo,Medio bajo,Medio bajo
05036,ANTIOQUIA,ANGELOPOLIS,0.01216,0.01564,0.01873,Medio bajo,Medio bajo,Medio bajo
05038,ANTIOQUIA,ANGOSTURA,0.04690,0.04912,0.02214,Alto,Alto,Medio
05040,ANTIOQUIA,ANORI,0.17211,0.11405,0.05371,Muy alto,Muy alto,Alto
05042,ANTIOQUIA,SANTA FE ANTIOQUIA,0.01557,0.01355,0.02089,Medio bajo,Medio bajo,Medio
05044,ANTIOQUIA,ANZA,0.00047,0.00746,0.02441,Bajo,Medio bajo,Medio
05045,ANTIOQUIA,APARTADO,0.01569,0.00952,0.00835,Medio bajo,Medio bajo,Medio bajo
05051,ANTIOQUIA,ARBOLETES,0.00738,0.00469,0.00709,Medio bajo,Bajo,Medio bajo
05055,ANTIOQUIA,ARGELIA,0.01379,0.01566,0.00795,Medio bajo,Medio bajo,Medio bajo
05059,ANTIOQUIA,ARMENIA,0.00500,0.01273,0.02535,Bajo,Medio bajo,Medio
05079,ANTIOQUIA,BARBOSA,0.02259,0.02035,0.00533,Medio,Medio,Bajo
05086,ANTIOQUIA,BELMIRA,0.02202,0.00151,0.02248,Medio,Bajo,Medio
