Divipola #,Divipola,Municipio,Depto,IICA 2017,IICA 2018,IICA 2019,IICA 2020,IICA 2021,IICA 2022,IICA 2017-2022,IICA 2017 Categoría ,"IICA 2018
Categoría ","IICA 2019
Categoría ","IICA 2020
Categoría ","IICA 2021
Categoría ","IICA 2022
Categoría ",IICA 2017-2022 Categoría
5001,05001,MEDELLIN,ANTIOQUIA,0.02816,0.02709,0.02521,0.02091,0.01865,0.01705,0.02284,Medio Bajo,Medio Bajo,Medio Bajo,Medio Bajo,Medio Bajo,Medio Bajo,Medio Bajo
5002,05002,ABEJORRAL,ANTIOQUIA,0.00960,0.02189,0.01726,0.02125,0.00826,0.01760,0.01597,Medio Bajo,Medio Bajo,Medio Bajo,Medio Bajo,Medio Bajo,Medio Bajo,Medio Bajo
5004,05004,ABRIAQUI,ANTIOQUIA,0.03638,0.00000,0.00341,0.00000,0.11724,0.00327,0.02672,Medio Bajo,Bajo,Medio Bajo,Bajo,Alto,Medio Bajo,Medio Bajo
5021,05021,ALEJANDRIA,ANTIOQUIA,0.03846,0.00079,0.00000,0.01969,0.00000,0.00267,0.01027,Medio Bajo,Bajo,Bajo,Medio Bajo,Bajo,Medio Bajo,Medio Bajo
5030,05030,AMAGA,ANTIOQUIA,0.03954,0.04677,0.04184,0.06464,0.06522,0.04725,0.05087,Medio Bajo,Medio Bajo,Medio Bajo,Medio,Medio,Medio Bajo,Medio Bajo
5031,05031,AMALFI,ANTIOQUIA,0.02931,0.03676,0.06897,0.03147,0.12448,0.06128,0.05871,Medio Bajo,Medio Bajo,Medio,Medio Bajo,Medio,Medio,Medio
5034,05034,ANDES,ANTIOQUIA,0.06182,0.08884,0.06745,0.10711,0.12071,0.06923,0.08586,Medio,Medio,Medio,Medio,Medio,Medio,Medio
5036,05036,ANGELOPOLIS,ANTIOQUIA,0.06233,0.06010,0.01629,0.10546,0.04708,0.04668,0.05632,Medio,Medio,Medio Bajo,Medio,Medio Bajo,Medio Bajo,Medio Bajo
5038,05038,ANGOSTURA,ANTIOQUIA,0.07520,0.03993,0.06987,0.09027,0.13674,0.30260,0.11910,Medio,Medio Bajo,Medio,Medio,Medio,Muy Alto,Alto
5040,05040,ANORI,ANTIOQUIA,0.21667,0.23386,0.22935,0.39690,0.34335,0.25670,0.27947,Alto,Muy Alto,Muy Alto,Muy Alto,Muy Alto,Muy Alto,Muy Alto
5042,05042,SANTA FE ANTIOQUIA,ANTIOQUIA,0.05796,0.03874,0.16873,0.02028,0.07131,0.17805,0.08918,Medio,Medio Bajo,Alto,Medio Bajo,Medio,Alto,Medio
5044,05044,ANZA,ANTIOQUIA,0.04312,0.05936,0.01592,0.05341,0.03938,0.01875,0.03832,Medio Bajo,Medio,Medio Bajo,Medio Bajo,Medio Bajo,Medio Bajo,Medio Bajo
5045,05045,APARTADO,ANTIOQUIA,0.05675,0.04707,0.04047,0.05163,0.05565,0.06465,0.05270,Medio Bajo,Medio Bajo,Medio Bajo,Medio Bajo,Medio Bajo,Medio,Medio Bajo
5051,05051,ARBOLETES,ANTIOQUIA,0.05088,0.01318,0.01612,0.00963,0.00680,0.04129,0.02298,Medio Bajo,Medio Bajo,Medio Bajo,Medio Bajo,Medio Bajo,Medio Bajo,Medio Bajo
5055,05055,ARGELIA,ANTIOQUIA,0.05041,0.02238,0.04834,0.06914,0.02342,0.12720,0.05681,Medio Bajo,Medio Bajo,Medio Bajo,Medio,Medio Bajo,Alto,Medio Bajo
5059,05059,ARMENIA,ANTIOQUIA,0.05812,0.07881,0.07602,0.01823,0.05026,0.38064,0.11035,Medio,Medio,Medio,Medio Bajo,Medio Bajo,Muy Alto,Medio
5079,05079,BARBOSA,ANTIOQUIA,0.03276,0.03584,0.02873,0.06656,0.04863,0.08543,0.04966,Medio Bajo,Medio Bajo,Medio Bajo,Medio,Medio Bajo,Medio,Medio Bajo
5086,05086,BELMIRA,ANTIOQUIA,0.06290,0.00615,0.01497,0.00000,0.06970,0.08358,0.03955,Medio,Medio Bajo,Medio Bajo,Bajo,Medio,Medio,Medio Bajo
5088,05088,BELLO,ANTIOQUIA,0.02829,0.01402,0.02315,0.02356,0.01332,0.02286,0.02087,Medio Bajo,Medio Bajo,Medio Bajo,Medio Bajo,Medio Bajo,Medio Bajo,Medio Bajo
5091,05091,BETANIA,ANTIOQUIA,0.14154,0.11810,0.23067,0.34177,0.18508,0.05250,0.17828,Alto,Alto,Muy Alto,Muy Alto,Alto,Medio Bajo,Alto
5093,05093,BETULIA,ANTIOQUIA,0.06505,0.05180,0.06795,0.10217,0.16294,0.03350,0.08057,Medio,Medio Bajo,Medio,Medio,Medio,Medio Bajo,Medio
5101,05101,CIUDAD BOLIVAR,ANTIOQUIA,0.09204,0.14293,0.10741,0.15172,0.15915,0.07989,0.12219,Medio,Alto,Medio,Alto,Medio,Medio,Alto
5107,05107,BRICEÑO,ANTIOQUIA,0.61582,0.34756,0.39751,0.13794,0.19951,0.46903,0.36123,Muy Alto,Muy Alto,Muy Alto,Alto,Muy Alto,Muy Alto,Muy Alto
5113,05113,BURITICA,ANTIOQUIA,0.04497,0.07772,0.03814,0.06798,0.19061,0.26889,0.11472,Medio Bajo,Medio,Medio Bajo,Medio,Medio,Muy Alto,Alto
5120,05120,CACERES,ANTIOQUIA,0.30294,0.91855,0.62428,0.52180,0.46752,0.30955,0.52411,Muy Alto,Muy Alto,Muy Alto,Muy Alto,Muy Alto,Muy Alto,Muy Alto
5125,05125,CAICEDO,ANTIOQUIA,0.09244,0.02585,0.04876,0.03294,0.05184,0.03446,0.04771,Medio,Medio Bajo,Medio Bajo,Medio Bajo,Medio Bajo,Medio Bajo,Medio Bajo
5129,05129,CALDAS,ANTIOQUIA,0.03552,0.03241,0.02836,0.02804,0.01819,0.01978,0.02705,Medio Bajo,Medio Bajo,Medio Bajo,Medio Bajo,Medio Bajo,Medio Bajo,Medio Bajo
5134,05134,CAMPAMENTO,ANTIOQUIA,0.12305,0.03662,0.28595,0.30947,0.06934,0.29808,0.18708,Alto,Medio Bajo,Muy Alto,Muy Alto,Medio,Muy Alto,Alto
5138,05138,CAÑASGORDAS,ANTIOQUIA,0.12120,0.02370,0.05600,0.04829,0.02998,0.27107,0.09171,Alto,Medio Bajo,Medio Bajo,Medio Bajo,Medio Bajo,Muy Alto,Medio
