Código Municipio,Municipio ,Código Departamento,Departamento,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"05001,Medellín,05,Antioquia,"" 34,443 "","" 36,925 "","" 40,881 "","" 43,042 "","" 45,551 "","" 49,048 "","" 51,394 "","" 55,082 "","" 59,435 "","" 57,154 "","" 66,894 "","" 76,890 """
05002,Abejorral,05,Antioquia, 127 , 149 , 149 , 160 , 173 , 202 , 235 , 231 , 244 , 242 , 335 , 451 
05004,Abriaquí,05,Antioquia, 18 , 17 , 18 , 19 , 18 , 20 , 22 , 29 , 32 , 33 , 38 , 58 
05021,Alejandría,05,Antioquia, 90 , 35 , 38 , 40 , 43 , 47 , 51 , 52 , 57 , 55 , 69 , 81 
05030,Amagá,05,Antioquia, 217 , 263 , 270 , 316 , 333 , 358 , 469 , 492 , 536 , 532 , 647 , 800 
"05031,Amalfi,05,Antioquia, 445 , 488 , 502 , 533 , 551 , 664 , 668 , 743 , 797 , 874 , 982 ,"" 1,126 """
05034,Andes,05,Antioquia, 349 , 353 , 418 , 519 , 693 , 659 , 677 , 680 , 678 , 655 , 654 , 810 
05036,Angelópolis,05,Antioquia, 45 , 48 , 56 , 62 , 62 , 67 , 81 , 82 , 83 , 72 , 92 , 118 
05038,Angostura,05,Antioquia, 264 , 195 , 183 , 158 , 116 , 123 , 131 , 133 , 136 , 133 , 157 , 188 
05040,Anorí,05,Antioquia, 82 , 87 , 105 , 140 , 154 , 200 , 143 , 159 , 164 , 173 , 235 , 368 
05042,Santa Fé de Antioquia,05,Antioquia, 180 , 220 , 247 , 283 , 279 , 268 , 302 , 319 , 406 , 312 , 378 , 473 
05044,Anzá,05,Antioquia, 63 , 65 , 57 , 61 , 62 , 70 , 92 , 110 , 110 , 105 , 138 , 163 
"05045,Apartadó,05,Antioquia,"" 1,401 "","" 1,366 "","" 1,490 "","" 1,489 "","" 1,846 "","" 1,972 "","" 2,204 "","" 2,345 "","" 2,463 "","" 2,487 "","" 2,982 "","" 3,461 """
05051,Arboletes,05,Antioquia, 187 , 224 , 301 , 241 , 245 , 258 , 277 , 286 , 285 , 276 , 328 , 443 
05055,Argelia,05,Antioquia, 46 , 52 , 51 , 56 , 54 , 60 , 73 , 74 , 70 , 69 , 92 , 114 
05059,Armenia,05,Antioquia, 59 , 40 , 43 , 49 , 52 , 55 , 51 , 52 , 56 , 52 , 65 , 81 
"05079,Barbosa,05,Antioquia, 560 , 615 , 654 , 745 , 786 , 831 , 830 , 958 ,"" 1,028 "","" 1,039 "","" 1,252 "","" 1,537 """
05086,Belmira,05,Antioquia, 35 , 44 , 51 , 61 , 58 , 65 , 69 , 70 , 81 , 81 , 94 , 114 
"05088,Bello,05,Antioquia,"" 3,174 "","" 3,666 "","" 3,628 "","" 4,103 "","" 4,742 "","" 4,845 "","" 5,253 "","" 5,667 "","" 6,212 "","" 5,817 "","" 6,883 "","" 8,071 """
05091,Betania,05,Antioquia, 127 , 105 , 132 , 135 , 123 , 149 , 160 , 148 , 167 , 168 , 245 , 283 
05093,Betulia,05,Antioquia, 170 , 139 , 173 , 200 , 172 , 195 , 220 , 224 , 232 , 240 , 309 , 361 
05101,Ciudad Bolívar,05,Antioquia, 261 , 245 , 296 , 318 , 295 , 315 , 337 , 336 , 354 , 353 , 430 , 577 
05107,Briceño,05,Antioquia, 50 , 55 , 51 , 57 , 59 , 59 , 73 , 80 , 73 , 92 , 119 , 136 
"05113,Buriticá,05,Antioquia, 117 , 59 , 99 , 93 , 68 , 97 , 85 , 86 , 87 , 403 , 944 ,"" 1,764 """
